dialog_id,dialog,heckler_img
easy_001,I’m listening. convince me like you mean it!,idk_1.png
easy_002,You’re doing great… Keep going!,strong.png
easy_003,You look nervous. Want a virtual hug?,blink.png
easy_004,"Aww, your passion is showing",smile.png
easy_005,I bet you practiced that line like… ten times.,oh_2.png
easy_006,"If you stumble, I’ll pretend I didn’t see anything.",idk_1.png
easy_007,I like your energy… even if it’s wobbly,blink.png
easy_008,"Heyyy, superstar! Did you rehearse in front of a mirror or your cat?",oh_1.png
easy_009,"Okay okay, impress me.",hm.png
easy_010,You’re braver than you look!,strong.png
easy_011,Don’t mind me… I’m just judging softly..,blink.png
easy_012,You’ve got this !!,strong.png
easy_013,I’m cheering for you,smile.png
easy_014,Ooooh big words! Someone studied last night!,oh_1.png
easy_015,Is that your serious face? It’s adorable!,hi_blink.png
easy_016,"I'm listening, I’m ready!",smile.png
easy_017,"Your voice is shaking, or did I hear it wrong ?",no_1.png
easy_018,You better make this worthy,hm.png
easy_019,Uh-Oh! Don’t stumble !,no_2.png
easy_020,"If confidence was a game, you’re at Level 2. Go for Level 3!",strong.png
