dialog_id,dialog,heckler_img
hard_001,"If confidence was volume, you’re whispering!",ha_2.png
hard_002,This is painful to watch!,ew.png
hard_003,You’re seriously going with THAT point?,angry.png
hard_004,SPEAK LOUDER! I CAN’T HEAR YOUR CONFIDENCE!,no_2.png
hard_005,You’re losing me….,hm.png
hard_006,Why should anyone listen? Huh?,smirk.png
hard_007,YOU’RE SLOW! PICK UP THE ENERGY!,huh.png
hard_008,Convince me before I walk out!,ha_2.png
hard_009,Spit it out! Don’t freeze!,huh.png
hard_010,You look scared. GOOD. FIGHT BACK!,ha.png
hard_011,I’m not impressed. TRY AGAIN,smirk.png
hard_012,SHOW ME YOU CAN HANDLE PRESSURE!,no_2.png
hard_013,I’m extremely confused !,ha_2.png
hard_014,THAT WAS A MESS,huh_2.png
hard_015,TRY HARDER!,no_2.png
hard_016,BORING!,no.png
hard_017,GIVE ME SOMETHING REAL!,hm.png
hard_018,I’ve heard better speeches from a toaster!,ha_2.png
hard_019,I WANT FIRE! NOT FLUFF!,angry.png
hard_020,IS THIS A SPEECH OR A BEDTIME STORY?,huh.png
hard_021,I’M FALLING ASLEEP OVER HERE!,smirk.png
