dialog_id,dialog,heckler_img
med_001,That’s a strong claim.,idk_3.png
med_002,Is that a fact or just your opinion?,hm.png
med_003,I’m not convinced yet. Try again.,idk_2.png
med_004,Hmm… something doesn’t add up,idk_3.png
med_005,You’re telling me this is reliable?,shock_1.png
med_006,I’m trying to believe you.,idk_1.png
med_007,"Hold on, are you sure that’s accurate?",shock_1.png
med_008,Your reasoning feels incomplete,hm.png
med_009,Is this practical?,idk_3.png
med_010,You sound confident. Does the data agrees ?,hm.png
med_011,"I’m listening… convince my brain, not my ears",haha.png
med_012,Assume I disagree,haha.png
med_013,Okay… Continue..,hm.png
med_014,Try a stronger delivery,idk_2.png
med_015,…,hm.png
med_016,So what if someone disagreed ?,idk_3.png
med_017,It sounded vague,idk_2.png
med_018,Are you confident about this ?,no_1.png
med_019,It's true… Maybe..,idk_1.png
med_020,Your points sounds contradict,no_2.png
med_021,I’m not rejecting it.. I guess..,idk_3.png
